Aircraft Type (Avinode);Normal Cruise Speed (kt);Cabin Width (m);Cabin Height (m);Cabin Length (m);Cabin Volume (m3);Baggage Capacity (m3);Seating Capacity
Falcon 2000;470;2.34;1.88;7.98;29.30;3.63;8–10
Falcon 2000EX;470;2.34;1.88;7.98;29.30;3.63;8–10
Falcon 2000EX EASy;470;2.34;1.88;7.98;29.30;3.63;8–10
Falcon 2000LX;470;2.34;1.88;7.98;29.30;3.63;8–10
Falcon 2000LXS;470;2.34;1.88;7.98;29.30;3.63;8–10
Falcon 2000S;470;2.34;1.88;7.98;29.30;3.63;8–10
Falcon 50 EX;470;2.20;1.80;7.55;24.50;2.50;8–9
Falcon 6X;470;2.34;1.98;9.10;35.60;3.50;8–16
Falcon 7X;470;2.34;1.88;11.63;39.10;3.50;12–16
Falcon 8X;470;2.34;1.88;12.97;42.90;4.10;12–16
Falcon 900 LX;459;2.34;1.88;9.91;32.80;3.50;8–12
Falcon 900B;459;2.34;1.88;9.91;32.80;3.50;8–12
Falcon 900DX;459;2.34;1.88;9.91;32.80;3.50;8–12
Falcon 900EX;459;2.34;1.88;9.91;32.80;3.50;8–12
Falcon 900EX EASy;459;2.34;1.88;9.91;32.80;3.50;8–12
Falcon 900LX;459;2.34;1.88;9.91;32.80;3.50;8–12
Falcon 900LX Easy II;459;2.34;1.88;9.91;32.80;3.50;8–12
Global 5000;470;2.49;1.91;13.06;46.00;4.20;13–16
Global 5500;488;2.49;1.91;13.06;46.00;4.20;13–16
Global 6000;488;2.49;1.91;15.47;54.00;5.40;13–17
Global 6500;488;2.49;1.91;15.47;54.00;5.40;13–17
Global 7500;488;2.49;1.95;17.68;63.20;6.50;14–19
Global Express;459;2.49;1.91;14.02;50.00;5.20;13–16
Global Express XRS;488;2.49;1.91;14.02;50.00;5.20;13–16
Gulfstream G-200;459;2.06;1.80;8.31;29.90;3.51;8–10
Gulfstream G-280;459;2.03;1.83;9.06;31.40;3.71;8–10
Gulfstream G-400;476;2.29;1.86;10.29;45.90;4.19;8–16
Gulfstream G-450;476;2.29;1.86;10.29;45.90;4.19;8–16
Gulfstream G-500;488;2.49;1.91;15.09;52.90;6.00;8–19
Gulfstream G-550;488;2.29;1.86;15.09;50.60;6.03;14–19
Gulfstream G-600;488;2.49;1.91;17.86;60.10;6.40;9–19
Gulfstream G-650;488;2.59;1.91;16.87;62.10;6.68;11–19
Gulfstream G-650ER;488;2.59;1.91;16.87;62.10;6.68;11–19
Gulfstream G-700;488;2.69;1.91;19.28;68.90;7.65;13–19
Gulfstream G-IV;459;2.29;1.86;10.29;45.90;4.19;8–19
Gulfstream G-IVSP;459;2.29;1.86;10.29;45.90;4.19;8–19
Gulfstream G-V;488;2.29;1.86;13.87;49.90;5.10;12–19
Hawker 400 A;428;1.46;1.42;5.49;9.30;1.40;7–9
Hawker 4000;459;1.90;1.75;7.16;27.50;3.50;8–9
Hawker 400XP;428;1.46;1.42;5.49;9.30;1.40;7–9
Hawker 750;448;1.83;1.73;6.50;19.50;1.40;8
Hawker 750 XP;448;1.83;1.73;6.50;19.50;1.40;8
Hawker 800XP;448;1.83;1.73;7.32;21.90;1.60;8–9
Hawker 850XP;448;1.83;1.73;7.32;21.90;1.60;8–9
Hawker 900 XP;448;1.83;1.73;7.32;21.90;1.60;8–9
Hawker 900XP;448;1.83;1.73;7.32;21.90;1.60;8–9
HondaJet;420;1.50;1.47;4.50;7.10;1.00;4–5
HondaJet Elite;422;1.50;1.47;4.50;7.10;1.00;4–5
HondaJet Elite II;422;1.50;1.47;4.50;7.10;1.20;4–5
HondaJet Elite S;425;1.50;1.47;4.50;7.10;1.20;4–5
Learjet 31;459;1.50;1.35;4.27;6.30;0.79;6–8
Learjet 31A;459;1.50;1.35;4.27;6.30;0.79;6–8
Learjet 35;430;1.50;1.35;4.88;7.00;0.79;6–8
Learjet 40;465;1.50;1.50;5.64;8.50;1.13;6–7
Learjet 40XR;465;1.50;1.50;5.64;8.50;1.13;6–7
Learjet 45;465;1.50;1.50;6.71;9.90;1.13;8–9
Learjet 45XR;465;1.50;1.50;6.71;9.90;1.13;8–9
Learjet 60;461;1.73;1.75;6.36;12.40;1.68;7–8
Learjet 60XR;461;1.73;1.75;6.36;12.40;1.68;7–8
Learjet 75;465;1.50;1.50;6.71;9.90;1.13;8–9
Legacy 450;450;1.83;1.75;7.35;25.90;2.70;7–9
Legacy 500;450;1.83;1.75;9.73;31.30;3.40;9–12
Legacy 600;447;1.83;1.75;10.71;32.30;4.00;13–14
Legacy 650;447;1.83;1.75;10.71;32.30;4.00;13–14
Nextant 400XTi;429;1.46;1.42;5.49;9.30;1.40;7–9
Phenom 100;380;1.50;1.45;4.66;7.50;1.00;4–6
Phenom 100E;380;1.50;1.45;4.66;7.50;1.00;4–6
Phenom 100EV;380;1.50;1.45;4.66;7.50;1.00;4–6
Phenom 100EX;380;1.50;1.45;4.66;7.50;1.00;4–6
Phenom 300;453;1.55;1.50;7.64;12.20;2.40;6–9
Phenom 300E;453;1.55;1.50;7.64;12.20;2.40;6–9
Piaggio Avanti EVO;402;1.85;1.44;6.78;11.00;1.10;6–9
Piaggio Avanti II;395;1.85;1.44;6.78;11.00;1.10;6–9
Pilatus PC 12;253;1.60;1.53;5.43;9.50;3.00;6–9
Pilatus PC 12/45;253;1.60;1.53;5.43;9.50;3.00;6–9
Pilatus PC-12 PRO;270;1.60;1.53;5.43;9.50;3.00;6–9
Pilatus PC-12/47E (NG);280;1.60;1.53;5.43;9.50;3.00;6–9
Pilatus PC-24;425;1.60;1.52;7.18;13.00;2.40;6–10
Pilatus PC12 NGX;290;1.60;1.53;5.43;9.50;3.00;6–9
Praetor 600;466;1.83;1.75;10.40;32.40;3.90;8–12
Premier I;451;1.68;1.47;5.61;11.00;1.50;6–7
Premier IA;451;1.68;1.47;5.61;11.00;1.50;6–7
Saab 2000;370;2.16;1.85;14.50;45.00;8.00;8–50 (VIP/commuter layout)
Sikorsky S-76 C++;155;1.75;1.42;3.53;7.40;1.20;8–12
Sikorsky S-92;150;2.44;1.85;6.71;20.00;3.50;16–19
